@RELATION COFrac
@Attribute neighborhood NUMERIC
@Attribute fusion NUMERIC
@Attribute cooccurence NUMERIC
@Attribute coexpression NUMERIC
@Attribute textmining NUMERIC
@Attribute score NUMERIC
@ATTRIBUTE class {positive, negative}
@DATA
0,0,0,0,0,0.022931,negative
0,0,0,0,0,0.049605,negative
0,0,0,0,0,0.013959,negative
0,0,0,0,0,0.504498,negative
0,0,0,0,0,-0.004882,negative
0,0,0,0,0,0.003669,negative
0,0,0,0,0,0.270788,negative
0,0,0,0,0,-0.008654,negative
0,0,0,0,0,0.143385,negative
0,0,0,0,0,-0.015284,negative
0,0,0,0,0,0.412125,negative
0,0,0,0,0,0.542796,negative
0,0,0,161,80,0.194560,negative
0,0,0,0,0,0.054270,negative
0,0,0,0,0,0.107930,negative
0,0,0,0,0,0.040644,negative
0,0,0,0,0,0.033148,negative
0,0,0,0,0,0.161037,negative
0,0,0,0,0,0.113085,negative
0,0,0,0,0,0.026303,negative
0,0,0,0,0,0.236564,negative
0,0,0,0,0,0.012692,negative
0,0,0,999,201,0.030179,positive
0,0,0,0,0,0.429181,negative
0,0,0,0,0,0.186778,negative
0,0,0,0,0,0.127875,negative
0,0,0,0,0,0.101140,negative
0,0,0,0,0,0.004134,negative
0,0,0,0,0,-0.004878,negative
0,0,0,0,0,-0.017476,negative
0,0,0,0,0,-0.019670,negative
0,0,0,0,0,-0.006080,negative
0,0,0,0,819,0.627903,positive
0,0,0,0,0,0.103288,negative
654,271,472,303,964,0.027707,positive
0,0,0,0,0,0.184889,negative
0,0,0,0,0,0.025235,negative
0,0,0,0,0,0.031304,negative
654,347,506,880,948,0.016732,positive
0,0,0,0,0,0.016609,negative
0,0,0,0,0,0.316551,negative
0,0,0,0,353,-0.008925,negative
0,0,0,0,0,0.105122,negative
0,0,0,0,474,0.310009,negative
0,0,0,0,0,0.048011,negative
0,0,39,805,153,-0.014430,positive
0,0,0,774,951,0.046747,positive
0,0,0,784,977,0.015117,positive
0,0,0,0,0,0.002380,negative
0,0,0,0,0,0.338232,negative
0,0,0,0,0,0.057857,negative
0,0,0,0,0,0.096797,negative
0,0,0,0,0,0.038570,negative
0,0,0,0,0,-0.011519,negative
0,0,0,0,0,0.098118,negative
0,0,0,0,0,0.008164,negative
0,0,0,0,0,0.015243,negative
0,0,0,0,0,0.009057,negative
0,0,0,0,0,0.029316,negative
0,0,0,0,0,0.372968,negative
0,0,0,0,0,0.032474,negative
0,0,0,0,0,0.017285,negative
0,0,0,75,503,-0.008849,negative
0,0,0,0,215,-0.001994,negative
0,0,0,0,0,-0.003573,negative
0,0,0,0,0,0.048405,negative
0,0,0,0,953,0.006107,positive
0,0,0,999,541,0.069160,positive
0,0,0,0,0,0.082304,negative
0,0,0,0,0,0.004525,negative
0,0,0,999,718,0.563228,positive
0,0,0,0,553,0.065012,negative
0,0,0,110,129,0.380318,negative
0,0,0,0,0,0.262651,negative
0,0,0,0,657,0.156678,positive
654,0,487,580,964,0.054039,positive
0,0,0,0,0,0.833797,negative
0,0,0,0,0,0.246492,negative
0,0,0,0,0,0.255497,negative
0,0,0,0,0,0.089312,negative
0,0,0,0,185,0.044188,negative
0,0,0,0,0,0.312976,negative
0,0,0,0,0,0.018405,negative
0,0,0,0,0,-0.016046,negative
0,0,0,0,0,-0.015133,negative
0,0,0,0,0,-0.001812,negative
0,0,0,0,0,0.004632,negative
0,0,0,0,0,0.027736,negative
0,0,0,0,0,0.009995,negative
0,0,0,0,0,0.036171,negative
0,0,0,0,0,0.257702,negative
0,0,0,0,0,-0.011104,negative
0,0,0,0,0,0.038191,negative
0,0,0,0,0,0.001709,negative
0,0,0,0,0,0.017339,negative
0,0,0,684,592,0.623510,positive
0,0,0,0,0,-0.000433,negative
0,0,0,0,0,0.082804,negative
0,0,0,0,0,0.030955,negative
0,0,0,0,0,-0.025078,negative
0,0,0,0,0,-0.008826,negative
0,0,0,0,0,-0.009342,negative
0,0,0,0,0,0.092632,negative
78,0,0,75,111,0.016719,negative
0,0,0,0,0,0.040423,positive
0,0,0,0,901,0.402535,positive
0,0,0,0,0,0.019372,negative
0,0,0,0,0,-0.015773,negative
0,0,0,0,0,-0.002762,negative
0,0,0,0,0,0.032161,negative
0,0,0,0,0,0.017047,negative
0,0,0,0,0,0.046052,negative
0,0,0,0,0,-0.001439,negative
0,0,0,0,0,0.006393,negative
0,0,0,301,875,0.041155,positive
0,0,0,0,0,-0.004888,negative
654,0,489,997,794,0.200085,positive
0,0,0,0,0,0.492008,negative
0,0,0,984,196,0.474332,positive
0,0,0,0,0,0.411957,negative
0,0,0,142,702,0.126250,positive
0,0,0,65,520,0.073163,positive
0,0,0,0,0,0.190927,negative
0,0,0,0,0,0.141640,negative
0,0,0,145,926,0.001119,positive
0,0,0,706,859,0.167312,positive
0,0,0,0,0,0.010718,negative
0,0,0,0,0,0.300429,negative
0,0,0,0,0,-0.016895,negative
0,0,0,0,0,0.521710,negative
0,0,0,0,0,0.114339,negative
0,0,0,655,502,-0.016588,negative
0,0,0,0,0,-0.005651,positive
267,720,0,77,994,0.484950,positive
0,0,0,0,0,0.478448,negative
0,0,0,0,0,0.069826,negative
0,0,0,0,0,0.202471,negative
0,0,0,0,0,-0.010612,negative
0,0,0,0,0,-0.005597,negative
0,0,0,0,0,0.091681,negative
0,0,0,0,0,0.092219,negative
0,0,0,0,0,0.180293,negative
0,0,0,0,0,0.005071,negative
0,0,0,0,295,-0.017549,negative
0,0,0,0,0,0.118662,positive
0,0,0,0,0,-0.012349,negative
0,0,0,0,0,-0.016978,negative
0,0,0,0,0,0.094625,negative
0,0,0,0,170,-0.014431,negative
0,0,0,0,0,0.021515,negative
0,0,0,0,0,0.041971,negative
0,0,0,0,0,0.138664,negative
0,0,0,999,795,0.400391,positive
0,0,0,0,0,0.139771,negative
0,0,0,0,0,0.549073,negative
0,0,0,0,0,0.281293,negative
0,0,0,0,0,0.042407,negative
0,0,0,0,0,0.513436,negative
180,0,0,0,502,-0.014164,positive
0,0,0,0,0,0.143111,negative
0,0,0,0,0,0.471858,negative
0,0,0,0,0,0.569074,negative
0,0,0,0,279,-0.004831,negative
0,0,0,0,0,0.074499,negative
0,0,0,0,0,0.115818,negative
0,0,0,0,0,0.009919,negative
0,0,0,0,0,0.032656,negative
0,0,0,0,0,0.062349,negative
0,0,0,0,0,-0.002918,negative
0,0,0,0,0,0.378537,negative
0,0,0,0,0,-0.007392,negative
0,0,0,0,656,0.031861,positive
0,0,0,0,0,0.091266,negative
0,0,0,0,0,0.000279,negative
0,0,0,0,0,-0.014694,negative
0,0,0,0,0,0.572066,negative
0,0,0,0,0,-0.009245,negative
0,0,0,0,0,0.004042,negative
0,0,0,0,0,-0.016802,negative
0,0,0,0,0,0.096467,negative
0,0,0,0,0,0.060153,negative
0,0,0,0,0,-0.013055,negative
0,0,0,0,0,0.043545,negative
0,0,0,0,0,0.034963,negative
0,0,0,0,0,-0.007856,negative
0,0,0,0,0,0.018378,negative
0,0,0,0,0,0.089815,negative
0,0,0,452,977,0.011499,positive
0,0,0,0,0,0.005354,negative
0,0,0,0,0,-0.004072,negative
0,0,0,0,0,0.264374,negative
0,0,0,0,0,-0.005001,negative
0,0,0,0,0,0.127563,negative
0,0,0,0,0,-0.006962,negative
0,0,0,0,0,-0.004952,positive
0,0,0,0,0,0.010591,negative
654,0,483,362,964,0.000544,positive
0,0,0,381,0,-0.014569,positive
0,0,0,0,0,0.335477,negative
0,0,0,0,0,0.085837,negative
0,0,0,0,0,-0.008563,negative
0,0,0,0,0,0.367146,negative
0,0,0,0,0,0.394161,negative
0,0,0,107,233,-0.029964,negative
0,0,0,0,218,0.645713,positive
0,0,0,0,0,0.037856,negative
0,0,0,0,0,0.066522,negative
0,0,0,139,60,0.047401,negative
0,0,0,0,0,-0.006791,negative
0,0,0,0,0,0.173127,negative
0,0,0,0,0,0.037760,negative
0,0,0,0,0,-0.000658,negative
0,0,0,0,0,0.234837,negative
0,0,0,0,0,-0.011446,negative
0,0,0,0,0,-0.003969,negative
0,0,0,0,0,0.191352,negative
0,0,0,0,893,-0.001553,positive
0,0,0,0,0,0.007714,negative
0,0,0,0,0,0.030327,negative
0,0,0,0,104,0.010395,negative
0,0,0,0,162,-0.011983,negative
0,0,0,0,0,-0.004659,negative
0,0,0,0,0,-0.004077,negative
0,0,0,111,931,0.720531,positive
0,0,0,0,0,-0.001594,negative
0,0,0,0,0,0.007459,negative
0,0,0,0,0,0.123967,negative
0,0,0,0,0,0.011193,negative
0,0,0,0,0,-0.019748,negative
0,0,0,0,186,0.398873,negative
0,0,0,0,0,0.324484,negative
0,0,0,0,570,0.032051,positive
0,0,0,0,0,-0.008156,negative
0,0,0,0,0,0.221404,negative
0,0,0,0,0,0.098507,negative
0,0,0,0,0,0.042982,negative
0,0,0,0,0,0.117075,negative
0,0,0,0,0,0.025474,negative
0,0,0,0,0,0.119318,negative
0,0,0,0,0,-0.012596,negative
0,0,0,0,0,0.058142,negative
0,0,0,0,0,0.132969,negative
0,0,0,0,0,0.035091,negative
0,0,0,0,0,0.244593,negative
0,0,0,0,0,0.061587,negative
0,0,0,0,0,0.023262,negative
0,0,0,0,0,0.045148,negative
0,0,0,0,0,0.697227,negative
0,0,0,0,0,-0.006327,negative
0,0,0,315,0,0.363203,negative
0,0,0,0,0,0.196168,negative
0,0,0,480,114,0.001534,positive
0,0,0,0,0,-0.006973,negative
0,0,0,0,0,0.248999,negative
0,0,0,0,69,0.311048,positive
0,0,0,0,0,0.245513,negative
0,0,0,0,0,0.244375,negative
0,0,0,0,0,0.002093,negative
0,0,0,0,0,0.110977,positive
0,0,0,0,0,0.039884,negative
0,0,0,0,0,0.304326,negative
0,0,0,0,0,0.095766,negative
0,0,0,0,0,0.109351,negative
0,0,0,709,60,0.320166,positive
0,0,0,960,558,0.765022,positive
0,0,0,0,0,0.099043,negative
0,0,0,0,0,0.009795,negative
0,0,0,0,0,0.011106,negative
0,0,0,0,0,-0.000251,negative
0,0,0,0,0,0.040826,negative
0,0,0,0,0,0.002235,negative
0,0,0,591,997,0.060438,positive
0,0,0,0,131,-0.012347,negative
0,0,0,0,0,0.067433,negative
0,0,0,0,0,0.005856,negative
0,0,0,0,0,0.019438,negative
0,0,0,0,0,-0.006775,negative
0,0,0,0,0,0.480475,negative
0,0,0,0,781,0.119965,positive
0,0,0,0,0,0.090556,positive
0,0,0,0,0,0.132814,negative
0,0,0,0,0,-0.008808,negative
0,0,0,0,0,0.645725,negative
0,0,0,0,0,-0.009250,negative
