ORF	Complex
YHR147C	mitochondrial ribosomal large subunit
YDR237W	mitochondrial ribosomal large subunit
YJL063C	mitochondrial ribosomal large subunit
YGR220C	mitochondrial ribosomal large subunit
YEL050C	mitochondrial ribosomal large subunit
YDR115W	mitochondrial ribosomal large subunit
YML025C	mitochondrial ribosomal large subunit
YPL183W-A	mitochondrial ribosomal large subunit
YHR060W	ER V-ATPase assembly complex
YKL119C	ER V-ATPase assembly complex
YBR050C	Reg2p/Glc7p complex
YER133W	Reg2p/Glc7p complex
YER029C	U5 snRNP complex
YGR074W	U5 snRNP complex
YLR275W	U5 snRNP complex
YLR147C	U5 snRNP complex
YOR159C	U5 snRNP complex
YFL017W-A	U5 snRNP complex
YPR182W	U5 snRNP complex
YKL173W	U5 snRNP complex
YBL074C	U5 snRNP complex
YER172C	U5 snRNP complex
YHR165C	U5 snRNP complex
YDR243C	U5 snRNP complex
YHR156C	U5 snRNP complex
YPR082C	U5 snRNP complex
YCR066W	Rad6p/Rad18p complex
YGL058W	Rad6p/Rad18p complex
YGL087C	ubiquitin conjugating enzyme complex
YDR092W	ubiquitin conjugating enzyme complex
YCR009C	Rvs161p/Rvs167p complex
YDR388W	Rvs161p/Rvs167p complex
YML105C	Signal recognition particle (SRP)
YDL092W	Signal recognition particle (SRP)
YKL122C	Signal recognition particle (SRP)
YPR088C	Signal recognition particle (SRP)
YPL243W	Signal recognition particle (SRP)
YPL210C	Signal recognition particle (SRP)
YMR042W	ARGR complex
YML099C	ARGR complex
YDR173C	ARGR complex
YMR043W	ARGR complex
YGL033W	Hop2p/Mnd1p complex
YGL183C	Hop2p/Mnd1p complex
YPL004C	Eisosome
YGR086C	Eisosome
YIL142W	chaperonin-containing T-complex
YJL014W	chaperonin-containing T-complex
YDL143W	chaperonin-containing T-complex
YJR064W	chaperonin-containing T-complex
YDR188W	chaperonin-containing T-complex
YJL111W	chaperonin-containing T-complex
YJL008C	chaperonin-containing T-complex
YDR212W	chaperonin-containing T-complex
YDR138W	THO complex
YML062C	THO complex
YNL139C	THO complex
YHR167W	THO complex
YDR180W	cohesin loading factor complex
YER147C	cohesin loading factor complex
YPL219W	Pho85p/Pcl8p complex
YPL031C	Pho85p/Pcl8p complex
YKR054C	cytoplasmic dynein complex
YDR424C	cytoplasmic dynein complex
YMR299C	cytoplasmic dynein complex
YDR488C	cytoplasmic dynein complex
YGL047W	UDP-N-acetylglucosamine transferase complex
YBR070C	UDP-N-acetylglucosamine transferase complex
YLR398C	Ski Complex
YPR189W	Ski Complex
YGL213C	Ski Complex
YPL129W	transcription factor TFIIF complex
YGR186W	transcription factor TFIIF complex
YGR005C	transcription factor TFIIF complex
YJR033C	RAVE complex
YDR202C	RAVE complex
YDR328C	RAVE complex
YPL094C	Sec62p/Sec63p complex
YOR254C	Sec62p/Sec63p complex
YBR171W	Sec62p/Sec63p complex
YLR292C	Sec62p/Sec63p complex
YGR200C	Elongator complex
YPL086C	Elongator complex
YPL101W	Elongator complex
YMR312W	Elongator complex
YHR187W	Elongator complex
YLR384C	Elongator complex
YJR082C	NuA3 histone acetyltransferase complex
YBL052C	NuA3 histone acetyltransferase complex
YPL129W	NuA3 histone acetyltransferase complex
YOR064C	NuA3 histone acetyltransferase complex
YPR031W	NuA3 histone acetyltransferase complex
YBR128C	phosphatidylinositol (PtdIns) 3-kinase complex (functions in autophagy)
YBR097W	phosphatidylinositol (PtdIns) 3-kinase complex (functions in autophagy)
YPL120W	phosphatidylinositol (PtdIns) 3-kinase complex (functions in autophagy)
YLR240W	phosphatidylinositol (PtdIns) 3-kinase complex (functions in autophagy)
YER025W	eIF2
YJR007W	eIF2
YPL237W	eIF2
YGR181W	Tim8p/Tim13p complex
YJR135W-A	Tim8p/Tim13p complex
YOR217W	DNA replication factor C complex (Rcf1p)
YJR068W	DNA replication factor C complex (Rcf1p)
YNL290W	DNA replication factor C complex (Rcf1p)
YOL094C	DNA replication factor C complex (Rcf1p)
YBR087W	DNA replication factor C complex (Rcf1p)
YIL125W	mitochondrial oxoglutarate dehydrogenase complex
YDR148C	mitochondrial oxoglutarate dehydrogenase complex
YFL018C	mitochondrial oxoglutarate dehydrogenase complex
YBR211C	COMA complex
YPL018W	COMA complex
YDR318W	COMA complex
YGR179C	COMA complex
YOL076W	NatB complex
YPR131C	NatB complex
YBR109C	SPB components
YNL225C	SPB components
YOR373W	SPB components
YDR356W	SPB components
YPL124W	SPB components
YKL042W	SPB components
YAL047C	SPB components
YML029W	ubiquitin ligase ERAD-L complex
YBR201W	ubiquitin ligase ERAD-L complex
YDR057W	ubiquitin ligase ERAD-L complex
