complexID	ORF
complex_57	CNA1
complex_57	MYO3
complex_57	
complex_58	APL4
complex_58	YFL034W
complex_58	APL2
complex_58	CST26
complex_58	YFR043C
complex_58	APS1
complex_58	APM1
complex_58	GAL10
complex_58	APM2
complex_58	
complex_59	DUO1
complex_59	DAM1
complex_59	DAD1
complex_59	HSK3
complex_59	ASK1
complex_59	SPC19
complex_59	DAD4
complex_59	NCA2
complex_59	SPC34
complex_59	
complex_60	YAP1801
complex_60	SRP40
complex_60	RPS31
complex_60	CWP2
complex_60	PPN1
complex_60	TFA1
complex_60	DBP2
complex_60	YAL053W
complex_60	TFA2
complex_60	
complex_61	ARC40
complex_61	ARC35
complex_61	ARC18
complex_61	ARP2
complex_61	PAC1
complex_61	ARP3
complex_61	ARC19
complex_61	TAP42
complex_61	
complex_61	
complex_62	GPD1
complex_62	PHO86
complex_62	PDR5
complex_62	YGR266W
complex_62	WBP1
complex_62	SSH1
complex_62	PMT1
complex_62	PMA1
complex_62	
complex_62	
complex_63	RPL18A
complex_63	MTR4
complex_63	STE4
complex_63	PSO2
complex_63	TRF4
complex_63	AIR2
complex_63	TRF5
complex_63	AIR1
complex_64	POL2
complex_64	MCM2
complex_64	INM1
complex_64	DPB4
complex_64	DPB3
complex_64	MBA1
complex_64	DPB2
complex_64	RPN4
complex_65	SET3
complex_65	SNT1
complex_65	HST1
complex_65	AKL1
complex_65	SUM1
complex_65	SIF2
complex_65	HOS4
complex_65	RFM1
complex_66	YHR054C
complex_66	RPM2
complex_66	YLR091W
complex_66	GDS1
complex_66	YLL033W
complex_66	YPR116W
complex_66	PET130
complex_66	YDR065W
complex_67	KIN28
complex_67	ESP1
complex_67	CCL1
complex_67	RAD3
complex_67	SSL1
complex_67	TFB3
complex_67	TFB1
complex_67	TFB4
complex_68	COG5
complex_68	DOR1
complex_68	COD2
complex_68	SEC34
complex_68	COD3
complex_68	COD1
complex_68	COD5
complex_68	SEC35
